rollout,cbf,T_ms,J,success,nodes
0,1,91855.0535000395,36.17154519407261,1,1354
1,1,94297.9697000701,32.8787136528998,1,1324
2,1,89694.95110004209,17.238186169551028,1,1359
3,1,96517.27039995603,18.46559809412554,1,1381
4,1,87086.5154999774,25.668304819053876,1,1329
5,1,103608.7803998962,61.70246433225494,1,1371
6,1,97192.02359998599,37.266335514416745,1,1356
7,1,96556.07499997132,21.365578248200308,1,1328
8,1,97471.92189982161,26.34198962541824,1,1358
9,1,91571.22500007972,15.356828739625495,1,1369
10,1,87728.90560002998,16.441612150226305,1,1352
11,1,102926.84769979678,35.8592426528321,1,1307
12,1,82922.55160002969,44.18864896732823,1,1358
13,1,98645.1151999645,21.43715058728421,1,1365
14,1,90836.95700019598,48.50648272423112,1,1374
15,1,92378.56919993646,32.301687266819386,1,1376
16,1,91500.54359994829,22.608229984748576,1,1356
17,1,88897.50550012104,18.45986717392832,1,1321
18,1,107949.97399998829,38.79934183411404,1,1365
19,1,103690.93759986572,30.31202584764498,1,1363
20,1,89338.48560019396,17.44004114344068,1,1327
21,1,102294.0601001028,42.96654950720399,1,1364
22,1,95492.25079989992,50.62325443130655,1,1357
23,1,96099.26439984702,19.283924144837854,1,1354
24,1,101287.73600002751,49.00373786986022,1,1369
25,1,92849.94270000607,36.167408327821114,1,1403
26,1,99434.16040018201,32.277358182985886,1,1352
27,1,98756.36160001159,21.136911485101386,1,1310
28,1,83871.9693000894,6.195321964333429,1,1340
29,1,103676.09020019881,26.536247841844727,1,1333
30,1,103926.22959986329,31.62561912538356,1,1343
31,1,84989.76269993,23.360255883866422,1,1357
32,1,91082.56980008446,25.8871650532808,1,1360
33,1,84616.9487000443,29.493131065939423,1,1358
34,1,91047.20439994708,22.7952095114149,1,1355
35,1,99232.7753000427,19.313787229677665,1,1317
36,1,85674.19219994918,17.76594225063567,1,1315
37,1,79335.91079991311,18.15135120245845,1,1372
38,1,95235.31969985925,44.566673207414226,1,1383
39,1,97028.38729997166,14.208237355679566,1,1387
40,1,96915.31910002232,27.883958611843777,1,1292
41,1,89094.97179999016,26.634295056542765,1,1313
42,1,89919.9528999161,16.613940673255126,1,1317
43,1,115143.53940007277,46.48313105013985,1,1370
44,1,85448.05869995616,20.802510257591567,1,1337
45,1,95912.64300001785,36.09227122032539,1,1368
46,1,101157.29390014894,23.585657155715293,1,1365
47,1,86126.00990012288,41.039948140063345,1,1329
48,1,96537.54689986818,15.306431479438043,1,1315
49,1,81948.1043999549,42.59365919453696,1,1350
50,1,121832.32369995676,36.48920380016822,1,1309
51,1,89113.42340009287,29.764670529677797,1,1348
52,1,95059.79199986905,33.36637651563738,1,1345
53,1,99170.77139997855,27.83453265844161,1,1331
54,1,87922.46949998662,18.793771148461307,1,1359
55,1,90356.56760004349,18.513504256952363,1,1326
56,1,104352.76350006461,35.09548872247163,1,1335
57,1,84834.27360001951,12.697030284716032,1,1355
58,1,90489.06910000369,9.177643699903586,1,1314
59,1,88738.81780006923,34.55694629360642,1,1356
60,1,107944.56849992275,25.701484898494353,1,1334
61,1,90901.67919988744,28.66693189163015,1,1348
62,1,99294.66310003772,25.101645641931633,1,1364
63,1,100730.57729983702,41.62202161306376,1,1332
64,1,97742.34570004046,18.348678130605244,1,1336
65,1,97100.14899983071,39.36594316780655,1,1333
66,1,87530.98719986156,22.05484517161434,1,1351
67,1,100735.04259996116,25.919329406348552,1,1348
68,1,96962.91430015117,17.160283714849147,1,1347
69,1,82174.4354001712,9.553081066999916,1,1309
70,1,91310.09140005335,25.882738255529325,1,1350
71,1,88257.82659999095,56.211593842904456,1,1352
72,1,94775.53420001641,26.32010699398203,1,1343
73,1,83034.51699996367,35.45086735919477,1,1355
74,1,83096.54160006903,38.986469423640216,1,1342
75,1,88119.12469984964,38.68808368392379,1,1368
76,1,97854.68089999631,30.1862237570429,1,1359
77,1,100871.93799996749,16.082876991588318,1,1338
78,1,85602.2901001852,16.67507699462197,1,1389
79,1,92475.35209986381,31.537469990946168,1,1335
80,1,84791.71009990387,37.079520322747676,1,1362
81,1,96602.45359991677,23.93940139964604,1,1355
82,1,90939.08999999985,17.155401710203158,1,1364
83,1,85214.45039985701,8.628590606845671,1,1306
84,1,94152.68790000118,9.955314888004086,1,1335
85,1,93008.22519999929,47.77958936716234,1,1368
86,1,91564.73070010543,20.024355709909727,1,1373
87,1,87801.22960009612,30.465502115094846,1,1352
88,1,83934.76790003479,20.30885888348987,1,1313
89,1,92990.07930001244,20.235581729352326,1,1357
90,1,105450.93769999221,26.902974569370574,1,1301
91,1,91043.47279993817,13.908106386321853,1,1363
92,1,89425.66829989664,41.582972102369304,1,1372
93,1,97186.47930002771,25.233863167709217,1,1350
94,1,95725.24180007167,40.92758936599029,1,1314
95,1,90416.71840008348,11.35835931572267,1,1364
96,1,94357.45329991914,20.08319348972437,1,1320
97,1,91732.3308000341,16.966668122438318,1,1353
98,1,101100.2434999682,9.943789656482123,1,1365
99,1,104151.71650005504,25.34846967370405,1,1323
